name,columns,rows,chunk_size,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
write_use_dictionary,1000,20000,2000,100,15073.537826538086,4451.274871826172,9649.991989135742
write_use_compression,1000,20000,2000,100,13630.390167236328,4212.379455566406,8554.935455322266
write_use_statistics,1000,20000,2000,100,11209.487915039062,4943.370819091797,5897.283554077148
read_with_external_metadata,1000,20000,2000,100,6639.242172241211,873.3272552490234,5765.199661254883
read_use_dataset,1000,20000,2000,100,14580.488204956055,nan,nan
fast,1000,20000,2000,100,11457.92007446289,4033.0886840820312,6592.035293579102
fast_nullable,1000,20000,2000,100,11920.690536499023,4100.322723388672,7359.26628112793
write_use_dictionary,2000,20000,2000,100,19451.379776000977,8987.4267578125,9096.145629882812
write_use_compression,2000,20000,2000,100,13930.082321166992,7476.091384887695,6290.197372436523
write_use_statistics,2000,20000,2000,100,17353.296279907227,9198.665618896484,6290.674209594727
read_with_external_metadata,2000,20000,2000,100,7129.669189453125,1589.2982482910156,5531.787872314453
read_use_dataset,2000,20000,2000,100,24013.042449951172,nan,nan
fast,2000,20000,2000,100,15016.07894897461,7369.9951171875,5842.924118041992
fast_nullable,2000,20000,2000,100,16469.717025756836,7210.254669189453,7145.166397094727
write_use_dictionary,3000,20000,2000,100,24868.249893188477,14370.203018188477,9017.467498779297
write_use_compression,3000,20000,2000,100,19517.183303833008,11955.022811889648,6391.763687133789
write_use_statistics,3000,20000,2000,100,21819.353103637695,13696.908950805664,6190.776824951172
read_with_external_metadata,3000,20000,2000,100,8173.704147338867,2332.2105407714844,5753.040313720703
read_use_dataset,3000,20000,2000,100,36669.49272155762,nan,nan
fast,3000,20000,2000,100,19935.36949157715,11321.783065795898,6463.766098022461
fast_nullable,3000,20000,2000,100,20950.3173828125,11511.32583618164,7457.01789855957
write_use_dictionary,4000,20000,2000,100,30373.811721801758,17559.051513671875,10770.320892333984
write_use_compression,4000,20000,2000,100,26087.99934387207,16452.312469482422,6598.472595214844
write_use_statistics,4000,20000,2000,100,31735.658645629883,23610.591888427734,5877.256393432617
read_with_external_metadata,4000,20000,2000,100,9816.169738769531,3271.1029052734375,5817.413330078125
read_use_dataset,4000,20000,2000,100,43274.1641998291,nan,nan
fast,4000,20000,2000,100,24458.40835571289,15447.378158569336,6224.155426025391
fast_nullable,4000,20000,2000,100,26680.469512939453,15275.955200195312,7149.457931518555
write_use_dictionary,5000,20000,2000,100,35523.414611816406,22960.424423217773,9444.475173950195
write_use_compression,5000,20000,2000,100,30992.984771728516,20706.653594970703,6832.361221313477
write_use_statistics,5000,20000,2000,100,35106.42051696777,26084.89990234375,5827.188491821289
read_with_external_metadata,5000,20000,2000,100,9920.597076416016,3834.962844848633,5884.885787963867
read_use_dataset,5000,20000,2000,100,51647.186279296875,nan,nan
fast,5000,20000,2000,100,29684.54360961914,23190.021514892578,6464.0045166015625
fast_nullable,5000,20000,2000,100,29427.289962768555,20840.883255004883,7204.294204711914
write_use_dictionary,6000,20000,2000,100,39786.81564331055,26950.836181640625,9111.404418945312
write_use_compression,6000,20000,2000,100,32886.74354553223,23106.33659362793,6934.642791748047
write_use_statistics,6000,20000,2000,100,37065.982818603516,28640.9854888916,6319.999694824219
read_with_external_metadata,6000,20000,2000,100,11281.490325927734,4707.33642578125,5496.26350402832
read_use_dataset,6000,20000,2000,100,62830.448150634766,nan,nan
fast,6000,20000,2000,100,32129.526138305664,23394.107818603516,5664.825439453125
fast_nullable,6000,20000,2000,100,34918.30825805664,23162.841796875,7729.530334472656
write_use_dictionary,7000,20000,2000,100,43919.56329345703,30369.997024536133,9209.156036376953
write_use_compression,7000,20000,2000,100,36989.92729187012,27031.898498535156,6405.115127563477
write_use_statistics,7000,20000,2000,100,43264.86587524414,37227.86903381348,6036.996841430664
read_with_external_metadata,7000,20000,2000,100,12277.364730834961,5625.486373901367,5860.090255737305
read_use_dataset,7000,20000,2000,100,71692.94357299805,nan,nan
fast,7000,20000,2000,100,37386.417388916016,27602.9109954834,5960.702896118164
fast_nullable,7000,20000,2000,100,38804.29267883301,27186.870574951172,7543.087005615234
write_use_dictionary,8000,20000,2000,100,46938.180923461914,34660.81619262695,10360.479354858398
write_use_compression,8000,20000,2000,100,43445.11032104492,33043.14613342285,6679.773330688477
write_use_statistics,8000,20000,2000,100,49638.74816894531,40412.90283203125,6348.609924316406
read_with_external_metadata,8000,20000,2000,100,13387.918472290039,7135.152816772461,5643.8446044921875
read_use_dataset,8000,20000,2000,100,82293.03359985352,nan,nan
fast,8000,20000,2000,100,41550.1594543457,32848.83499145508,5803.108215332031
fast_nullable,8000,20000,2000,100,43949.84245300293,33004.7607421875,7122.039794921875
write_use_dictionary,9000,20000,2000,100,51688.194274902344,39674.997329711914,8755.207061767578
write_use_compression,9000,20000,2000,100,48226.356506347656,38582.32498168945,7359.26628112793
write_use_statistics,9000,20000,2000,100,60972.69058227539,49812.31689453125,7097.482681274414
read_with_external_metadata,9000,20000,2000,100,13147.830963134766,6908.178329467773,5768.775939941406
read_use_dataset,9000,20000,2000,100,93073.60649108887,nan,nan
fast,9000,20000,2000,100,46213.15002441406,38272.38082885742,5708.217620849609
fast_nullable,9000,20000,2000,100,48681.97441101074,38647.89009094238,7425.3082275390625
write_use_dictionary,10000,20000,2000,100,57394.26612854004,43438.43460083008,8891.34407043457
write_use_compression,10000,20000,2000,100,57347.05924987793,47625.30326843262,6656.408309936523
write_use_statistics,10000,20000,2000,100,63642.74024963379,54037.57095336914,6068.46809387207
read_with_external_metadata,10000,20000,2000,100,15083.789825439453,8211.135864257812,5561.590194702148
read_use_dataset,10000,20000,2000,100,104106.18782043457,nan,nan
fast,10000,20000,2000,100,51901.817321777344,45431.85234069824,5704.641342163086
fast_nullable,10000,20000,2000,100,54270.029067993164,44150.11405944824,7668.018341064453
write_use_dictionary,1000,20000,20000,100,12724.876403808594,1618.8621520996094,10529.99496459961
