name,columns,rows,row_groups,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
read_with_external_metadata,100,200000,1,100,83992.71965026855,104.18891906738281,83888.53073120117
fast_nullable,100,200000,1,100,71912.28866577148,254.15420532226562,71377.27737426758
read_with_external_metadata,500,200000,1,100,110511.06452941895,400.543212890625,110032.0816040039
fast_nullable,500,200000,1,100,106281.28051757812,851.3927459716797,105114.69841003418
read_with_external_metadata,5000,200000,1,100,81766.36695861816,3798.0079650878906,77968.35899353027
fast_nullable,5000,200000,1,100,113972.42546081543,7200.956344604492,104494.33326721191
read_with_external_metadata,100,200000,2,100,81505.77545166016,112.29515075683594,81393.48030090332
fast_nullable,100,200000,2,100,75850.4867553711,306.6062927246094,75364.1128540039
read_with_external_metadata,500,200000,2,100,91023.20671081543,393.6290740966797,90590.9538269043
fast_nullable,500,200000,2,100,89090.10887145996,966.0720825195312,87846.75598144531
read_with_external_metadata,5000,200000,2,100,89876.17492675781,3762.483596801758,86113.69132995605
fast_nullable,5000,200000,2,100,104123.59237670898,9065.389633178711,93248.36730957031
read_with_external_metadata,100,200000,5,100,78175.54473876953,97.99003601074219,78042.50717163086
fast_nullable,100,200000,5,100,74961.66229248047,346.18377685546875,74171.30470275879
read_with_external_metadata,500,200000,5,100,76471.56715393066,403.8810729980469,76055.52673339844
fast_nullable,500,200000,5,100,77437.8776550293,1302.957534790039,75780.15327453613
read_with_external_metadata,5000,200000,5,100,83270.07293701172,3717.4224853515625,79552.65045166016
fast_nullable,5000,200000,5,100,95033.40721130371,15872.478485107422,79160.92872619629
read_with_external_metadata,100,200000,10,100,73437.21389770508,97.75161743164062,73326.11083984375
fast_nullable,100,200000,10,100,69547.17636108398,482.5592041015625,68847.8946685791
read_with_external_metadata,500,200000,10,100,73935.03189086914,408.6494445800781,73473.45352172852
fast_nullable,500,200000,10,100,74938.29727172852,1883.7451934814453,72562.45613098145
read_with_external_metadata,5000,200000,10,100,85861.6828918457,3750.0858306884766,82111.59706115723
fast_nullable,5000,200000,10,100,95488.30986022949,19716.501235961914,73099.61318969727
read_with_external_metadata,100,200000,20,100,72044.84939575195,107.28836059570312,71914.4344329834
fast_nullable,100,200000,20,100,73350.90637207031,713.1099700927734,72293.04313659668
read_with_external_metadata,500,200000,20,100,77196.83647155762,399.8279571533203,76730.96656799316
fast_nullable,500,200000,20,100,82155.70449829102,3036.7374420166016,78055.38177490234
read_with_external_metadata,5000,200000,20,100,79866.64772033691,3831.624984741211,76035.0227355957
fast_nullable,5000,200000,20,100,114548.4447479248,32601.118087768555,74899.67346191406
read_with_external_metadata,100,200000,50,100,77471.97151184082,107.52677917480469,77324.15199279785
fast_nullable,100,200000,50,100,77044.24858093262,1527.547836303711,75051.30767822266
read_with_external_metadata,500,200000,50,100,86913.5856628418,448.2269287109375,86410.2840423584
fast_nullable,500,200000,50,100,88569.87953186035,6682.634353637695,80450.53482055664
read_with_external_metadata,5000,200000,50,100,79069.85282897949,3836.393356323242,74854.13551330566
fast_nullable,5000,200000,50,100,167018.65196228027,71927.07061767578,82862.13874816895
read_with_external_metadata,100,200000,100,100,99659.44290161133,116.82510375976562,99369.28749084473
fast_nullable,100,200000,100,100,96592.90313720703,2676.0101318359375,93309.40246582031
read_with_external_metadata,500,200000,100,100,97122.9076385498,419.61669921875,96626.04331970215
fast_nullable,500,200000,100,100,110420.94230651855,13804.67414855957,95235.10932922363
read_with_external_metadata,5000,200000,100,100,101381.54029846191,3906.9652557373047,97357.51152038574
fast_nullable,5000,200000,100,100,255230.66520690918,140714.4069671631,97754.24003601074
read_with_external_metadata,100,200000,200,100,112801.55181884766,155.6873321533203,112640.8576965332
fast_nullable,100,200000,200,100,112164.49737548828,5365.848541259766,105782.98568725586
read_with_external_metadata,500,200000,200,100,114799.26109313965,436.3059997558594,114327.66914367676
fast_nullable,500,200000,200,100,144105.4344177246,25469.77996826172,114657.64045715332
read_with_external_metadata,5000,200000,200,100,120966.43447875977,3730.0586700439453,116940.73677062988
fast_nullable,5000,200000,200,100,391669.27337646484,264290.33279418945,117799.28207397461
