name,columns,rows,chunk_size,data_page_size,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
read_with_external_metadata,1000,10000,10000,1073741824,100,3785.1333618164062,819.4446563720703,2965.688705444336
fast,1000,10000,10000,1073741824,100,4400.491714477539,1540.8992767333984,2826.4522552490234
read_with_external_metadata,1000,20000,10000,1073741824,100,4171.133041381836,813.9610290527344,3357.1720123291016
fast,1000,20000,10000,1073741824,100,4292.24967956543,1781.463623046875,2408.0276489257812
read_with_external_metadata,1000,30000,10000,1073741824,100,7207.393646240234,825.6435394287109,6317.615509033203
fast,1000,30000,10000,1073741824,100,7442.712783813477,2224.6837615966797,5048.990249633789
read_with_external_metadata,1000,40000,10000,1073741824,100,7752.895355224609,800.8480072021484,6893.157958984375
fast,1000,40000,10000,1073741824,100,7348.537445068359,2277.1358489990234,4098.415374755859
read_with_external_metadata,1000,50000,10000,1073741824,100,10860.681533813477,781.2976837158203,9694.814682006836
fast,1000,50000,10000,1073741824,100,8922.815322875977,2660.2745056152344,5452.156066894531
read_with_external_metadata,1000,60000,10000,1073741824,100,11775.016784667969,804.6627044677734,10957.956314086914
fast,1000,60000,10000,1073741824,100,13852.834701538086,2700.8056640625,10971.546173095703
read_with_external_metadata,1000,70000,10000,1073741824,100,12172.222137451172,786.0660552978516,11352.5390625
fast,1000,70000,10000,1073741824,100,13034.820556640625,3321.409225463867,9366.512298583984
read_with_external_metadata,1000,80000,10000,1073741824,100,13046.026229858398,834.7034454345703,12211.322784423828
fast,1000,80000,10000,1073741824,100,12941.122055053711,3339.052200317383,8952.140808105469
read_with_external_metadata,1000,90000,10000,1073741824,100,17550.945281982422,954.6279907226562,16596.317291259766
fast,1000,90000,10000,1073741824,100,17158.74671936035,3427.9823303222656,12722.969055175781
read_with_external_metadata,1000,100000,10000,1073741824,100,16597.270965576172,850.9159088134766,15727.758407592773
fast,1000,100000,10000,1073741824,100,24028.301239013672,3947.734832763672,19291.63932800293
read_with_external_metadata,1000,110000,10000,1073741824,100,18882.98988342285,833.0345153808594,17976.045608520508
fast,1000,110000,10000,1073741824,100,18377.065658569336,4179.954528808594,13481.14013671875
read_with_external_metadata,1000,120000,10000,1073741824,100,22095.203399658203,813.7226104736328,21157.97996520996
fast,1000,120000,10000,1073741824,100,25252.580642700195,4197.835922241211,20825.14762878418
read_with_external_metadata,1000,130000,10000,1073741824,100,22780.895233154297,819.4446563720703,21459.579467773438
fast,1000,130000,10000,1073741824,100,26079.177856445312,4927.158355712891,20513.057708740234
read_with_external_metadata,1000,140000,10000,1073741824,100,25682.21092224121,884.2945098876953,24784.326553344727
fast,1000,140000,10000,1073741824,100,28516.292572021484,4743.337631225586,22583.961486816406
read_with_external_metadata,1000,150000,10000,1073741824,100,25783.061981201172,838.5181427001953,24944.543838500977
fast,1000,150000,10000,1073741824,100,29130.45883178711,5366.086959838867,22745.132446289062
read_with_external_metadata,1000,160000,10000,1073741824,100,28066.87355041504,838.5181427001953,27198.076248168945
fast,1000,160000,10000,1073741824,100,31980.75294494629,4987.001419067383,25588.512420654297
read_with_external_metadata,1000,170000,10000,1073741824,100,28923.749923706055,886.9171142578125,28032.06443786621
fast,1000,170000,10000,1073741824,100,34434.55696105957,5334.377288818359,27720.212936401367
read_with_external_metadata,1000,180000,10000,1073741824,100,31251.907348632812,916.4810180664062,30329.465866088867
fast,1000,180000,10000,1073741824,100,33773.89907836914,5829.334259033203,26106.11915588379
read_with_external_metadata,1000,190000,10000,1073741824,100,34242.63000488281,794.1722869873047,33448.45771789551
fast,1000,190000,10000,1073741824,100,39328.813552856445,6068.229675292969,32511.234283447266
read_with_external_metadata,1000,200000,10000,1073741824,100,36053.41911315918,814.1994476318359,35179.61502075195
fast,1000,200000,10000,1073741824,100,41054.96406555176,6005.048751831055,33351.42135620117
read_with_external_metadata,1000,210000,10000,1073741824,100,35693.40705871582,859.7373962402344,34833.669662475586
fast,1000,210000,10000,1073741824,100,41163.20610046387,6290.197372436523,33615.1123046875
read_with_external_metadata,1000,220000,10000,1073741824,100,39695.26290893555,817.2988891601562,38877.96401977539
fast,1000,220000,10000,1073741824,100,47210.693359375,6593.227386474609,39486.40823364258
read_with_external_metadata,1000,230000,10000,1073741824,100,37623.64387512207,793.2186126708984,36785.36415100098
fast,1000,230000,10000,1073741824,100,45536.27967834473,6904.60205078125,38631.67762756348
read_with_external_metadata,1000,240000,10000,1073741824,100,39521.217346191406,978.9466857910156,38408.27941894531
fast,1000,240000,10000,1073741824,100,48223.018646240234,7048.606872558594,39019.82307434082
read_with_external_metadata,1000,250000,10000,1073741824,100,40813.92288208008,794.1722869873047,39954.185485839844
fast,1000,250000,10000,1073741824,100,50528.28788757324,8573.770523071289,41264.53399658203
read_with_external_metadata,1000,260000,10000,1073741824,100,43179.27360534668,864.9826049804688,42309.99946594238
fast,1000,260000,10000,1073741824,100,52103.99627685547,7721.900939941406,42754.173278808594
read_with_external_metadata,1000,270000,10000,1073741824,100,48526.28707885742,839.7102355957031,47643.66149902344
fast,1000,270000,10000,1073741824,100,56115.150451660156,9013.175964355469,46031.951904296875
read_with_external_metadata,1000,280000,10000,1073741824,100,52515.268325805664,884.0560913085938,51515.10238647461
fast,1000,280000,10000,1073741824,100,60960.53123474121,9108.06655883789,49176.692962646484
read_with_external_metadata,1000,290000,10000,1073741824,100,51617.62237548828,829.9350738525391,50787.68730163574
fast,1000,290000,10000,1073741824,100,66354.99000549316,9849.071502685547,55574.17869567871
read_with_external_metadata,1000,10000,100000,1073741824,100,3173.351287841797,825.6435394287109,2347.707748413086
fast,1000,10000,100000,1073741824,100,4243.135452270508,1667.022705078125,2576.112747192383
read_with_external_metadata,1000,20000,100000,1073741824,100,4702.091217041016,784.3971252441406,3771.3050842285156
fast,1000,20000,100000,1073741824,100,5774.974822998047,1878.2615661621094,3896.7132568359375
read_with_external_metadata,1000,30000,100000,1073741824,100,6816.864013671875,889.0628814697266,5927.801132202148
fast,1000,30000,100000,1073741824,100,6650.686264038086,1581.6688537597656,4945.516586303711
read_with_external_metadata,1000,40000,100000,1073741824,100,7246.494293212891,931.7398071289062,6254.911422729492
fast,1000,40000,100000,1073741824,100,6319.0460205078125,1626.9683837890625,4223.823547363281
read_with_external_metadata,1000,50000,100000,1073741824,100,13150.215148925781,774.8603820800781,12286.901473999023
fast,1000,50000,100000,1073741824,100,13407.230377197266,1599.7886657714844,11294.126510620117
read_with_external_metadata,1000,60000,100000,1073741824,100,16489.98260498047,817.0604705810547,15672.922134399414
fast,1000,60000,100000,1073741824,100,16314.74494934082,1612.1864318847656,14258.384704589844
read_with_external_metadata,1000,70000,100000,1073741824,100,18451.929092407227,796.5564727783203,17634.39178466797
fast,1000,70000,100000,1073741824,100,18707.0369720459,1671.3142395019531,16576.766967773438
read_with_external_metadata,1000,80000,100000,1073741824,100,24854.183197021484,865.936279296875,23988.24691772461
fast,1000,80000,100000,1073741824,100,22490.02456665039,1784.5630645751953,20705.461502075195
read_with_external_metadata,1000,90000,100000,1073741824,100,29114.961624145508,845.4322814941406,28262.37678527832
fast,1000,90000,100000,1073741824,100,24107.933044433594,1663.6848449707031,21863.222122192383
read_with_external_metadata,1000,100000,100000,1073741824,100,28897.28546142578,911.2358093261719,27849.674224853516
fast,1000,100000,100000,1073741824,100,26355.504989624023,1633.4056854248047,24722.09930419922
read_with_external_metadata,1000,110000,100000,1073741824,100,15185.356140136719,776.5293121337891,14365.196228027344
fast,1000,110000,100000,1073741824,100,17330.646514892578,1868.0095672607422,15462.636947631836
read_with_external_metadata,1000,120000,100000,1073741824,100,20560.503005981445,800.1327514648438,19710.063934326172
fast,1000,120000,100000,1073741824,100,20040.98892211914,1801.9676208496094,18239.02130126953
read_with_external_metadata,1000,130000,100000,1073741824,100,21335.363388061523,815.6299591064453,20519.733428955078
fast,1000,130000,100000,1073741824,100,16348.600387573242,1836.7767333984375,14014.005661010742
read_with_external_metadata,1000,140000,100000,1073741824,100,25314.807891845703,782.9666137695312,24350.16632080078
fast,1000,140000,100000,1073741824,100,21300.554275512695,1842.0219421386719,18812.894821166992
read_with_external_metadata,1000,150000,100000,1073741824,100,31542.539596557617,849.4853973388672,30589.10369873047
fast,1000,150000,100000,1073741824,100,27703.046798706055,1818.4185028076172,25257.82585144043
read_with_external_metadata,1000,160000,100000,1073741824,100,33611.77444458008,807.0468902587891,32789.23034667969
fast,1000,160000,100000,1073741824,100,38043.26057434082,2542.9725646972656,35100.93688964844
read_with_external_metadata,1000,170000,100000,1073741824,100,33869.98176574707,803.4706115722656,33004.7607421875
fast,1000,170000,100000,1073741824,100,34176.82647705078,2007.9612731933594,31674.14665222168
read_with_external_metadata,1000,180000,100000,1073741824,100,35711.52687072754,885.2481842041016,34769.05822753906
fast,1000,180000,100000,1073741824,100,32637.596130371094,1941.4424896240234,30001.64031982422
read_with_external_metadata,1000,190000,100000,1073741824,100,35344.36225891113,820.3983306884766,34523.963928222656
fast,1000,190000,100000,1073741824,100,32718.896865844727,1801.2523651123047,30156.612396240234
read_with_external_metadata,1000,200000,100000,1073741824,100,42170.52459716797,814.4378662109375,41266.20292663574
fast,1000,200000,100000,1073741824,100,38925.6477355957,1866.8174743652344,36453.7239074707
read_with_external_metadata,1000,210000,100000,1073741824,100,38547.03903198242,807.2853088378906,37619.829177856445
fast,1000,210000,100000,1073741824,100,35025.35820007324,2136.23046875,32280.921936035156
read_with_external_metadata,1000,220000,100000,1073741824,100,38412.57095336914,781.0592651367188,37523.98490905762
fast,1000,220000,100000,1073741824,100,37707.56721496582,2223.0148315429688,34869.67086791992
read_with_external_metadata,1000,230000,100000,1073741824,100,38070.2018737793,793.9338684082031,37238.83628845215
fast,1000,230000,100000,1073741824,100,36021.94786071777,2013.9217376708984,33394.09828186035
read_with_external_metadata,1000,240000,100000,1073741824,100,38571.35772705078,805.3779602050781,37715.19660949707
fast,1000,240000,100000,1073741824,100,39405.34591674805,2047.3003387451172,36576.032638549805
read_with_external_metadata,1000,250000,100000,1073741824,100,42613.74473571777,793.2186126708984,41735.88752746582
fast,1000,250000,100000,1073741824,100,39759.39750671387,2279.2816162109375,37072.42012023926
read_with_external_metadata,1000,260000,100000,1073741824,100,49450.87432861328,802.0401000976562,48252.58255004883
fast,1000,260000,100000,1073741824,100,46306.84852600098,2150.5355834960938,43575.52528381348
read_with_external_metadata,1000,270000,100000,1073741824,100,47754.764556884766,804.901123046875,46917.67692565918
fast,1000,270000,100000,1073741824,100,53662.06169128418,2461.9102478027344,51001.787185668945
read_with_external_metadata,1000,280000,100000,1073741824,100,57495.832443237305,975.8472442626953,56519.98519897461
fast,1000,280000,100000,1073741824,100,51076.412200927734,2086.4009857177734,47780.513763427734
read_with_external_metadata,1000,290000,100000,1073741824,100,59129.71496582031,770.0920104980469,58359.622955322266
fast,1000,290000,100000,1073741824,100,60171.36573791504,2116.2033081054688,57011.36589050293
cpp_fast,1000,10000,10000,1073741824,100,2081,925,1156
cpp_fast,1000,20000,10000,1073741824,100,3487,1155,2332
cpp_fast,1000,30000,10000,1073741824,100,4839,1500,3339
cpp_fast,1000,40000,10000,1073741824,100,6080,1660,4305
cpp_fast,1000,50000,10000,1073741824,100,7490,1872,5585
cpp_fast,1000,60000,10000,1073741824,100,8618,2213,6405
cpp_fast,1000,70000,10000,1073741824,100,10294,2378,7767
cpp_fast,1000,80000,10000,1073741824,100,11461,2621,8840
cpp_fast,1000,90000,10000,1073741824,100,12048,2741,9272
cpp_fast,1000,100000,10000,1073741824,100,13429,2974,10317
cpp_fast,1000,110000,10000,1073741824,100,17053,3913,13140
cpp_fast,1000,120000,10000,1073741824,100,16236,3738,12313
cpp_fast,1000,130000,10000,1073741824,100,16750,3702,13048
cpp_fast,1000,140000,10000,1073741824,100,18254,3971,14283
cpp_fast,1000,150000,10000,1073741824,100,23314,4484,18830
cpp_fast,1000,160000,10000,1073741824,100,22784,4862,17922
cpp_fast,1000,170000,10000,1073741824,100,27498,5098,22400
cpp_fast,1000,180000,10000,1073741824,100,25765,5005,20760
cpp_fast,1000,190000,10000,1073741824,100,28000,5258,21388
cpp_fast,1000,200000,10000,1073741824,100,30182,5492,24626
cpp_fast,1000,210000,10000,1073741824,100,30310,5771,24236
cpp_fast,1000,220000,10000,1073741824,100,37007,6746,29961
cpp_fast,1000,230000,10000,1073741824,100,36636,6850,28584
cpp_fast,1000,240000,10000,1073741824,100,37265,6838,30427
cpp_fast,1000,250000,10000,1073741824,100,34455,7204,27070
cpp_fast,1000,260000,10000,1073741824,100,38812,7461,31235
cpp_fast,1000,270000,10000,1073741824,100,49411,7419,41992
cpp_fast,1000,280000,10000,1073741824,100,48001,7591,40256
cpp_fast,1000,290000,10000,1073741824,100,51831,7965,43315
cpp_fast,1000,10000,100000,1073741824,100,2147,986,1161
cpp_fast,1000,20000,100000,1073741824,100,3076,922,2080
cpp_fast,1000,30000,100000,1073741824,100,3924,933,2991
cpp_fast,1000,40000,100000,1073741824,100,4536,929,3603
cpp_fast,1000,50000,100000,1073741824,100,5627,922,4705
cpp_fast,1000,60000,100000,1073741824,100,8588,1155,7314
cpp_fast,1000,70000,100000,1073741824,100,7835,1007,6794
cpp_fast,1000,80000,100000,1073741824,100,8279,957,7321
cpp_fast,1000,90000,100000,1073741824,100,9126,941,8185
cpp_fast,1000,100000,100000,1073741824,100,10914,1059,9855
cpp_fast,1000,110000,100000,1073741824,100,11686,1198,10442
cpp_fast,1000,120000,100000,1073741824,100,12880,1223,11561
cpp_fast,1000,130000,100000,1073741824,100,12793,1234,11559
cpp_fast,1000,140000,100000,1073741824,100,15028,1237,13791
cpp_fast,1000,150000,100000,1073741824,100,18266,1218,17033
cpp_fast,1000,160000,100000,1073741824,100,15334,1243,14091
cpp_fast,1000,170000,100000,1073741824,100,16479,1223,15256
cpp_fast,1000,180000,100000,1073741824,100,26875,1227,25622
cpp_fast,1000,190000,100000,1073741824,100,20995,1232,19763
cpp_fast,1000,200000,100000,1073741824,100,21437,1235,20199
cpp_fast,1000,210000,100000,1073741824,100,26109,1438,24671
cpp_fast,1000,220000,100000,1073741824,100,30344,1541,28772
cpp_fast,1000,230000,100000,1073741824,100,24740,1538,22914
cpp_fast,1000,240000,100000,1073741824,100,25267,1532,23735
cpp_fast,1000,250000,100000,1073741824,100,27591,1587,25902
cpp_fast,1000,260000,100000,1073741824,100,34190,1545,32166
cpp_fast,1000,270000,100000,1073741824,100,36765,1472,35293
cpp_fast,1000,280000,100000,1073741824,100,34277,1432,32845
cpp_fast,1000,290000,100000,1073741824,100,42248,1509,40697
