columns, rows, chunk_size, writing(μs), reading_all(μs), reading_100(μs)
100,100,1000,2757,912,966
200,100,1000,4614,1553,897
300,100,1000,6555,2670,1039
400,100,1000,9250,3125,1165
500,100,1000,9801,4513,1283
600,100,1000,13152,5394,1413
700,100,1000,15640,5720,1570
800,100,1000,17546,6617,1559
900,100,1000,18570,8012,1732
1000,100,1000,22214,8957,1918
2000,100,1000,42992,16434,3059
3000,100,1000,63298,28376,4462
4000,100,1000,83435,35247,5062
5000,100,1000,100680,52192,6023
6000,100,1000,123226,64052,7372
7000,100,1000,146807,71869,8812
8000,100,1000,159089,78873,9201
9000,100,1000,179655,90539,10348
10000,100,1000,193805,101362,11338
20000,100,1000,385231,228141,23009
30000,100,1000,600859,332737,33744
40000,100,1000,772678,418063,44841
50000,100,1000,972989,524360,59760
100,5000,1000,29626,3806,3628
200,5000,1000,45964,7574,3852
300,5000,1000,70178,12039,4464
400,5000,1000,92767,15983,4574
500,5000,1000,114155,20145,4893
600,5000,1000,136671,24951,5244
700,5000,1000,537866,30220,5366
800,5000,1000,353948,36548,5940
900,5000,1000,389946,40705,5942
1000,5000,1000,392769,48256,6111
2000,5000,1000,773927,92952,8894
3000,5000,1000,1386521,137760,11348
4000,5000,1000,3477483,184951,13919
5000,5000,1000,1115448,249691,16604
6000,5000,1000,1344346,290238,19397
7000,5000,1000,1584483,355604,22021
8000,5000,1000,1801543,393512,24565
9000,5000,1000,3002826,466371,27098
10000,5000,1000,2255848,513068,30614
20000,5000,1000,5526551,1143128,60810
30000,5000,1000,6849672,1669078,93946
40000,5000,1000,9101204,2319049,120511
50000,5000,1000,11841510,3070764,166246
100,100,10000,3624376,1613,902
200,100,10000,3979,1779,934
300,100,10000,5912,2326,1023
400,100,10000,8071,3324,1175
500,100,10000,10040,4126,1283
600,100,10000,11944,4655,1343
700,100,10000,13152,5488,1436
800,100,10000,16657,6205,1557
900,100,10000,18981,7379,1746
1000,100,10000,20342,7867,1775
2000,100,10000,37420,15892,2861
3000,100,10000,56486,25288,3975
4000,100,10000,77484,33550,4980
5000,100,10000,95380,47183,6005
6000,100,10000,113656,57903,7197
7000,100,10000,136360,69453,8157
8000,100,10000,153290,77927,9599
9000,100,10000,174233,90219,10296
10000,100,10000,194391,100814,11176
20000,100,10000,388668,205191,22272
30000,100,10000,575770,311452,34381
40000,100,10000,768677,415281,47737
50000,100,10000,973628,535315,58713
100,5000,10000,24464,2647,2499
200,5000,10000,34025,4848,2360
300,5000,10000,53768,8299,2622
400,5000,10000,73014,12393,2681
500,5000,10000,86873,14352,2870
600,5000,10000,107123,19307,3062
700,5000,10000,118170,28235,3515
800,5000,10000,137268,33879,3392
900,5000,10000,156843,39647,3454
1000,5000,10000,189276,47957,3634
2000,5000,10000,337223,102342,4658
3000,5000,10000,504797,154237,5759
4000,5000,10000,757191,215958,6825
5000,5000,10000,852637,274585,7773
6000,5000,10000,1014252,274449,9045
7000,5000,10000,1480005,362325,10317
8000,5000,10000,3794581,379136,11423
9000,5000,10000,2863933,471167,12748
10000,5000,10000,1714135,453472,13654
20000,5000,10000,3346619,757453,24005
30000,5000,10000,5162921,1334991,39374
40000,5000,10000,6745254,1911190,48216
50000,5000,10000,10329951,2611017,60272
