columns,rows,chunk_size,writing(μs),reading_all(μs),reading_100(μs)
100,100,1000,4849.433898925781,128908.15734863281,2968.5497283935547
200,100,1000,4654.884338378906,5108.59489440918,3643.9895629882812
300,100,1000,7900.238037109375,8605.480194091797,4053.831100463867
400,100,1000,9438.753128051758,9088.277816772461,4947.662353515625
500,100,1000,11499.166488647461,11834.144592285156,5579.471588134766
600,100,1000,13466.358184814453,13891.458511352539,5642.65251159668
700,100,1000,15937.089920043945,15295.267105102539,5859.136581420898
800,100,1000,18606.901168823242,15793.085098266602,6711.721420288086
900,100,1000,19540.071487426758,19222.736358642578,6415.128707885742
1000,100,1000,23396.49200439453,22816.181182861328,7833.242416381836
2000,100,1000,44461.48872375488,28402.328491210938,12061.119079589844
3000,100,1000,69231.74858093262,55356.97937011719,15524.864196777344
4000,100,1000,85270.88165283203,77633.61930847168,19973.278045654297
5000,100,1000,105408.6685180664,99550.96244812012,24445.772171020508
6000,100,1000,128518.10455322266,93748.56948852539,29683.589935302734
7000,100,1000,150763.75007629395,140394.6876525879,32990.69404602051
8000,100,1000,170183.89701843262,178497.5528717041,37912.607192993164
9000,100,1000,188805.58013916016,195675.13465881348,42340.755462646484
10000,100,1000,207799.43466186523,175273.65684509277,45912.742614746094
20000,100,1000,417670.24993896484,437530.2791595459,105358.12377929688
30000,100,1000,663333.1775665283,694229.6028137207,152475.11863708496
40000,100,1000,850829.1244506836,925623.4169006348,199183.94088745117
50000,100,1000,1080632.209777832,1103668.451309204,245430.94635009766
100,5000,1000,36165.23742675781,10165.691375732422,4382.133483886719
200,5000,1000,50230.26466369629,10010.480880737305,6818.532943725586
300,5000,1000,79654.69360351562,15052.318572998047,6332.635879516602
400,5000,1000,97534.1796875,18856.76383972168,7970.094680786133
500,5000,1000,121739.62593078613,24694.68116760254,8003.711700439453
600,5000,1000,148241.99676513672,36655.18760681152,8545.160293579102
700,5000,1000,167154.55055236816,35414.934158325195,10640.859603881836
800,5000,1000,188243.86596679688,46416.7594909668,9534.597396850586
900,5000,1000,360677.48069763184,38053.274154663086,12484.073638916016
1000,5000,1000,242035.1505279541,40836.57264709473,12093.305587768555
2000,5000,1000,598806.3812255859,123109.57908630371,21343.94645690918
3000,5000,1000,2516759.6340179443,143565.89317321777,35969.01893615723
4000,5000,1000,3605759.382247925,225604.05731201172,32668.113708496094
5000,5000,1000,2357820.2724456787,350594.99740600586,48816.91932678223
6000,5000,1000,1439250.4692077637,385515.9282684326,53698.062896728516
7000,5000,1000,1688976.0494232178,424303.2932281494,56015.2530670166
8000,5000,1000,1917021.2745666504,509087.80097961426,62693.35746765137
9000,5000,1000,2163272.8576660156,614835.0238800049,75238.94309997559
10000,5000,1000,4814077.377319336,646978.6167144775,89426.99432373047
20000,5000,1000,9748416.662216187,1521408.0810546875,150439.26239013672
30000,5000,1000,9606949.32937622,2465178.7281036377,251602.1728515625
40000,5000,1000,14304300.785064697,2872022.1519470215,319628.0002593994
50000,5000,1000,16175361.156463623,4093298.1967926025,523546.6957092285
100,100,10000,6565750.360488892,10380.268096923828,2805.948257446289
